State,Number,Summary,Bill Type,Penalties,Date,Status,Youth State Risk,Adult State Risk,Notes,URL,Sponsors,Calendar,History,Manual Status,Change Hash,Bill ID,PDF,Bill PDF,Targets Gender Identity,Targets Sexual Orientation,Targets Minors,Targets Adults,Trans Exclusionary Sex Definiition?,🔐 Softr Record ID
Alabama,HB107,"Sex-based terms, defined; vital statistics, report sex as male or female at birth required, legislative policy regarding sex and gender identity established",End Legal Recognition,,2025-02-04,Pending House Judiciary,Worst,Worst,"A version of IWV's ""Stand with Women"" Act; companion bill to SB 79 which was enacted",https://legiscan.com/AL/bill/HB107/2025,Susan DuBose,,"H 2025-02-03 Prefiled, H 2025-02-04 Read for the first time and referred to the House Committee on Judiciary, H 2025-02-04 Pending House Judiciary.... see more on LegiScan",Comp Enacted,23d6e37c51a03dafd285a27028ec4b04,1956006,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/HB107-int.pdf,,Y,,Y,Y,Binary Sex / Gamete Production,8qGxAarDi6LXSB5yFif6RA
Alabama,HB244,"Public K-12 education, discussions of gender identity prohibited in grades preK-12, employees prohibited from displaying flags or insignia relating to sexual orientation or gender identity, employees prohibited from referring to student by pronouns inconsistent with student's biological sex",Don't Say Gay: K12 / Don't Say Trans: K12 / Pronoun Ban / Censorship: Pride Flag Ban / Forced Misgendering,,2025-05-01,Read for the Second Time and placed on the Calendar,Worst,Worst,"Extends existing K-5 Don't Say Gay or Trans ban to K12; introduced with pronoun ban/misgendering, but that was amended away",https://legiscan.com/AL/bill/HB244/2025,Mack Butler,"Hearing 2025-04-02 13:30 Room 206, Hearing 2025-04-09 13:30 Room 206","H 2025-02-11 Read for the first time and referred to the House Committee on Education Policy, H 2025-02-11 Pending House Education Policy, H 2025-04-09 Education Policy 1st Amendment NRDFZTT-1, H 2025-04-09 Reported Out of Committee House of Origin from House Education Policy ARY4CQS-1, H 2025-04-09 Read for the Second Time and placed on the Calendar, H 2025-04-17 Third Reading in House of Origin, H 2025-04-17 Education Policy  Engrossed Substitute Offered ARY4CQS-1, H 2025-04-17 Motion to Adopt - Adopted Roll Call 891 ARY4CQS-1, H 2025-04-17 Motion to Read a Third Time and Pass as Amended - Adopted Roll Call 892, H 2025-04-17 Engrossed.... see more on LegiScan",Failed,0e9f3efeaa34d72cb7ffdb2d15b55cef,1965457,"https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/HB244-int.pdf, https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/HB244-eng.pdf",,Y,Y,Y,,None,RiFmExye8zCKXaLFBEBsBL
Alabama,HB246,"Public schools, colleges, and universities; immunity provided to students and teachers who decline to use certain pronouns or names",Pronoun Ban / Forced Outing By Schools,,2025-05-06,Currently Indefinitely Postponed,Worst,Worst,"K12/college, employees and students can misgender trans people without penalty; school employees can't use trans students' pronouns/names without parental permission",https://legiscan.com/AL/bill/HB246/2025,Scott Stadthagen,"Hearing 2025-04-02 13:30 Room 206, Hearing 2025-04-16 13:30 Room 206","H 2025-02-11 Read for the first time and referred to the House Committee on Education Policy, H 2025-02-11 Pending House Education Policy, H 2025-04-16 Education Policy 1st Substitute XD8HI77-1, H 2025-04-16 Reported Out of Committee House of Origin, H 2025-04-17 Read for the Second Time and placed on the Calendar.... see more on LegiScan",Failed,980b48edc0945eca0612d76d898f2a5c,1965693,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/HB246-int.pdf,,Y,,Y,Y,Binary Sex / Gamete Production,TE8gD4mviSDvsVytF1eY6u
Alabama,HB4,"Crimes and offenses, further provides for obscenity crimes",Censorship: Book Ban / Censorship: Drag Ban,Criminal: Misdemeanor/ Criminal: Felony,2025-02-04,Pending House Judiciary,Worst,Worst,"Sexual conduct means: In K-12 public schools or public libraries where minors are expected and known to be present without parental presence or consent, ""any sexual or gender-oriented conduct,"" presentation, or activity that knowingly exposes a minor to a person who is dressed in sexually revealing, exaggerated, or provocative clothing or costumes, who is stripping, or who is engaged in lewd or lascivious dancing.  Material that depicts or describes, in a patently
offensive way, sexual conduct is Obscene. Any materials depicting or describing sexual conduct … in a way which is patently offensive to prevailing standards in the adult community with respect to what is suitable for minors is harmful to minors. Any resident of the library district can report the material or conduct, as can a parent or guardian of a child enrolled in the k-12 public school. ",https://legiscan.com/AL/bill/HB4/2025,Arnold Mooney,,"H 2024-07-08 Prefiled, H 2025-02-04 Read for the first time and referred to the House Committee on Judiciary, H 2025-02-04 Pending House Judiciary.... see more on LegiScan",Failed,56ffa299090fcee18f61127ba19e5fb6,1886100,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/HB4-int.pdf,,Y,,Y,,None,8pvHY3tR4Wew3JiBcbYjz8
Alabama,HB418,"Financial Institutions and Insurers; using social credit score to discriminate prohibited; violations of insurers an unfair trade practice;  fines, penalties and remedies authorized",Public Investment Restriction: Social Credit Score,,2025-03-06,Pending House Financial Services,Worst,Worst,Refers to GAC of any age via a reference to state law code,https://legiscan.com/AL/bill/HB418/2025,Jamie Kiel,,"H 2025-03-06 Read for the first time and referred to the House Committee on Financial Services, H 2025-03-06 Pending House Financial Services.... see more on LegiScan",Failed,ad9fff7220127c0b7179ace25c339e0a,1994149,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/HB418-int.pdf,,Y,,Y,Y,None,267FpqkB8xf2gHqw1tjPw2
Alabama,HB67,"Parental rights, prohibits public K-12 schools and public libraries from presenting or sponsoring drag performances in certain circumstances and state entities from allowing minors to share facilities with members of the opposite sex in certain circumstances during overnight programs",Censorship: Drag Ban / Trans Bathroom Ban: K12 / Trans Segregation Bill,None,2025-04-29,Read for the Second Time and placed on the Calendar,Worst,Worst,"K12 & public libraries: Drag Ban; All govt. K12 overnight programs: Bathroom, changing facilities, and overnight accommodations ban",https://legiscan.com/AL/bill/HB67/2025,Scott Stadthagen,Hearing 2025-02-12 16:00 Room 206,"H 2024-12-04 Prefiled, H 2025-02-04 Read for the first time and referred to the House Committee on State Government, H 2025-02-04 Pending House State Government, H 2025-02-12 Reported Out of Committee House of Origin, H 2025-02-12 Read for the Second Time and placed on the Calendar, H 2025-04-17 Third Reading in House of Origin, H 2025-04-17 Motion to Read a Third Time and Pass - Adopted Roll Call 889.... see more on LegiScan",Failed,a48f5538bbb5df89108016a71500a3c0,1894565,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/HB67-int.pdf,,Y,,Y,Y,Binary Sex / Sex at Birth,HCcvpvmzxgT85pJBcmdojV
Alabama,SB101,"Consent to medical treatment; age at which minor may consent to medical treatment revised, exceptions further provided for",Forced Outing By Schools / Forced Outing: Healthcare,,2025-05-22,Enacted,Worst,Worst," Raise the age of medical consent from 14 to 16 (introduced as 18) including for guidance counseling, suicide prevention, anti-bullying topics all as subsets of ""mental health services"".",https://legiscan.com/AL/bill/SB101/2025,Larry Stutts,Hearing 2025-02-12 12:30 Finance and Taxation,"S 2025-02-05 Read for the first time and referred to the Senate Committee on Children and Youth Health, S 2025-02-05 Pending Senate Children and Youth Health, S 2025-02-12 Reported Out of Committee House of Origin, S 2025-02-12 Read for the Second Time and placed on the Calendar, S 2025-04-08 Third Reading in House of Origin, S 2025-04-08 Sessions 1st Amendment Offered NRDGQJJ-1, S 2025-04-08 Sessions motion to Adopt - Adopted Roll Call 510 NRDGQJJ-1, S 2025-04-08 Melson 1st Amendment Offered FKIREDC-1, S 2025-04-08 Melson motion to Adopt - Adopted Roll Call 511 FKIREDC-1, S 2025-04-08 Motion to Read a Third Time and Pass as Amended - Adopted Roll Call 512, S 2025-04-09 Engrossed, H 2025-04-09 Read for the first time and referred to the House Committee on Health, H 2025-04-09 Pending House Health.... see more on LegiScan",Enacted,af0c9d797d0566544e082a36a76eee38,1956254,"https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/SB101-int.pdf, https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/SB101-eng.pdf",,,,Y,,None,GEPdS6RmjbYq2bYVsHa6Wi
Alabama,SB228,"Financial Institutions and Insurers; using social credit score to discriminate prohibited; violations of insurers an unfair trade practice;  fines, penalties and remedies authorized",Public Investment Restriction: Social Credit Score,,2025-03-05,Pending Senate Banking and Insurance,Worst,Worst,Refers to GAC of any age via a reference to state law code,https://legiscan.com/AL/bill/SB228/2025,Andrew Jones,Hearing 2025-04-02 13:00 Room 807,"S 2025-03-05 Read for the first time and referred to the Senate Committee on Banking and Insurance, S 2025-03-05 Pending Senate Banking and Insurance.... see more on LegiScan",Failed,73fbb943e276d97dd729f67b1c3190c3,1992825,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/SB228-int.pdf,,Y,,Y,Y,None,VDWtdBoy8TC5cgGh8gddBn
Alabama,SB79,"Sex-based terms, defined; vital statistics, report sex as male or female at birth required, legislative policy regarding sex and gender identity established",End Legal Recognition / Trans Bathroom Ban: Public Properties / Trans Bathroom Ban: K12 / Trans Bathroom Ban: Colleges,Civil: Liability,2025-02-13,Enacted,Worst,Worst,"Extends K12 bathroom ban to Colleges, prisons, and domestic violence shelters; Uses egg/sperm production definition of sex  IWF's ""Stand With Women"" Act an update of their so-called ""Women's Bill of Rights""",https://legiscan.com/AL/bill/SB79/2025,April Weaver,"Hearing 2025-02-05 14:00 Finance and Taxation, Hearing 2025-02-11 12:00 Room 617","S 2025-02-04 Read for the first time and referred to the Senate Committee on County and Municipal Government, S 2025-02-04 Pending Senate County and Municipal Government, S 2025-02-05 County and Municipal Government 1st Substitute XNXVEE7-1, S 2025-02-05 Reported Out of Committee House of Origin, S 2025-02-05 Read for the Second Time and placed on the Calendar, S 2025-02-06 Third Reading in House of Origin, S 2025-02-06 County and Municipal Government 1st Substitute Offered XNXVEE7-1, S 2025-02-06 Weaver motion to Adopt - Adopted Roll Call 12 XNXVEE7-1, S 2025-02-06 Motion to Read a Third Time and Pass as Amended - Adopted Roll Call 13, S 2025-02-06 Engrossed, H 2025-02-06 Read for the first time and referred to the House Committee on Health, H 2025-02-06 Pending House Health, H 2025-02-11 Reported Out of Committee Second House, H 2025-02-11 Read for the Second Time and placed on the Calendar, H 2025-02-12 Third Reading in Second House, H 2025-02-12 Rafferty 1st Amendment Offered EY3PC22-1, H 2025-02-12 DuBose motion to Table - Adopted Roll Call 71 EY3PC22-1, H 2025-02-12 Motion to Read a Third Time and Pass - Adopted Roll Call 72, S 2025-02-12 Ready to Enroll, S 2025-02-12 Ready to Enroll, S 2025-02-12 Enrolled, S 2025-02-13 Delivered to Governor, H 2025-02-13 Signature Requested, S 2025-02-13 Enacted, S 2025-02-13 Enacted.... see more on LegiScan",Enacted,957622ddb711130b3856e0ef45d1d343,1956049,"https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/SB79-int.pdf, https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/SB79-eng.pdf, https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2025RS/SB79-enr.pdf",,Y,,Y,Y,Binary Sex / Gamete Production,2c2qh8Ba3QuSXn9RMgSEo1
Alaska,HB40,Designate Sex For School-sponsored Sports,Sports Ban: K12,Civil: Liability ,2026-05-11,COSPONSOR REMOVED: GALVIN,Moderate,Moderate,A SWSA,https://legiscan.com/AK/bill/HB40/2025,"Jamie Allard, Jubilee Underwood, Sarah Vance, Mia Costello",,"H 2025-01-22 PREFILE RELEASED 1/17/25, H 2025-01-22 READ THE FIRST TIME - REFERRALS, H 2025-01-22 JUD, EDC, H 2025-01-22 REFERRED TO JUDICIARY, H 2025-04-02 COSPONSOR(S): VANCE, H 2025-04-11 COSPONSOR(S): COSTELLO.... see more on LegiScan",Roll Over,b18b3e1873f871e6c603addb00e8c913,1927987,https://www.akleg.gov/PDF/34/Bills/HB0040A.PDF,,Y,,Y,,Birth Certificate / Binary Sex / Genitalia / Chromosomes / Hormones,Eue5iNJqyknRqKZtFmtbbh
